id;category_name;description;status;created_by;created_on;updated_by;updated_on;start_date;end_date;branch_id
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;2020-05-07;Producer;2020-05-06;2020-05-06;2020-05-07;77
2;Officer;methodology Albania;Home Namibia;Steel zero administration;2020-05-06;Common;2020-05-06;2020-05-06;2020-05-07;38246
3;Planner Canyon;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;Nakfa;2020-05-06;Rubber Buckinghamshire Games;2020-05-06;2020-05-06;2020-05-07;18223
4;copy convergence;Mayotte;Industrial;connect Markets Chief;2020-05-06;National Awesome sky blue;2020-05-07;2020-05-06;2020-05-07;84453
5;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;Small;2020-05-06;index orange;2020-05-07;2020-05-07;2020-05-06;19884
6;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;moratorium moratorium;2020-05-06;withdrawal COM;2020-05-06;2020-05-06;2020-05-07;97171
7;synthesizing hard drive Robust;Avon;system Small;Intelligent Outdoors;2020-05-06;knowledge base Buckinghamshire;2020-05-06;2020-05-07;2020-05-07;60441
8;Saint Lucia white;Generic neutral Salad;Auto Loan Account modular Refined;digital maroon;2020-05-06;Ghana back-end National;2020-05-07;2020-05-06;2020-05-07;27213
9;withdrawal;copying;ability Hat Iraq;magenta Concrete;2020-05-07;Directives;2020-05-07;2020-05-07;2020-05-06;55810
10;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;2020-05-07;Granite Berkshire Designer;2020-05-07;2020-05-06;2020-05-06;8085
