id;payment_method;installments;day_desc;payment_day;frequency;branch_id
1;Managed Dobra application;23823;iterate;53432;Buckinghamshire monetize;29763
2;Fantastic Small Frozen Salad bypassing;35490;Usability;67676;Borders Borders Practical;9170
3;Money Market Account;55370;ivory Data neural;11346;Optimization;97424
4;Designer;5587;circuit Guam;70583;Liaison;68803
5;generating SDD bypassing;42609;Centralized revolutionize International;14660;Avon;23322
6;Maine PCI SAS;23668;Principal Pennsylvania dynamic;70818;Buckinghamshire;37798
7;system Triple-buffered;33025;supply-chains;25368;grow;57147
8;hack;76719;quantifying;74421;Naira Versatile seize;47771
9;Refined;52837;web services;80210;Strategist;55600
10;success;4340;Principal Senior;25299;Yemeni Rial Sleek;16621
