id;fee_particulars_name;fee_particular_desc;student_type;gender;amount;status;created_by;created_on;updated_by;updated_on;start_date;end_date;branch_id;department_id;batch_id;facility_id;transport_route_id
1;24/7 Re-contextualized cross-platform;invoice withdrawal;bypassing optical;installation;18651;Refined Rubber Gloves Algerian Dinar Clothing;open-source turn-key;2020-05-07;Quality;2020-05-06;2020-05-06;2020-05-06;93672;83771;13752;67569;34106
2;Concrete Global SMS;Profound;parsing;Borders content-based;99625;Agent;Human deposit;2020-05-07;cross-media;2020-05-06;2020-05-06;2020-05-06;85632;88708;40450;77987;88777
3;bypassing Marketing;Dynamic Home Loan Account Tools;Branding;Home Gloves Latvia;69189;invoice Devolved;Computers Bedfordshire Fish;2020-05-06;program alarm;2020-05-07;2020-05-06;2020-05-06;9367;50881;36771;63633;26520
4;Persevering;Coordinator Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;23018;Bedfordshire Alaska calculate;Chips;2020-05-06;Response Human;2020-05-06;2020-05-06;2020-05-07;95307;92831;33075;42818;55276
5;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc;57006;Intelligent;Zambian Kwacha intuitive;2020-05-07;system-worthy portal;2020-05-06;2020-05-06;2020-05-07;70248;70891;35949;55281;29359
6;redundant;Synergistic Personal Loan Account Sleek;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;2761;California interfaces;Garden Dale Wallis and Futuna;2020-05-07;Utah Computers Small Fresh Gloves;2020-05-06;2020-05-06;2020-05-07;32665;52224;82786;76999;27154
7;Orchestrator;Refined Intelligent Granite Shirt;Philippine Peso Metal;Strategist;51630;alliance redundant global;bypass Ameliorated;2020-05-07;Refined infomediaries Som;2020-05-07;2020-05-07;2020-05-06;15643;44235;25024;23978;54922
8;microchip;Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;15864;Steel leading-edge Small;Incredible Fresh Chips;2020-05-06;Bridge;2020-05-07;2020-05-06;2020-05-06;80691;47347;34630;17320;46467
9;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;94023;North Dakota incubate deposit;haptic parsing;2020-05-06;parsing invoice;2020-05-07;2020-05-07;2020-05-07;6936;21458;10077;37725;1822
10;Generic;robust withdrawal generate;Garden open-source hybrid;Solomon Islands Dollar;34833;Accountability Handmade Cotton Bacon;intermediate Table quantify;2020-05-06;Producer infrastructures;2020-05-06;2020-05-07;2020-05-06;58054;34080;86711;93075;56186
