id;is_auto_late_fee;late_fee_days;charge_type;fixed_charges;percent_charges;late_fee_frequency;late_fee_repeat_days;academic_year_id;term_id;branch_id
1;Regional;57599;Human Jewelery Engineer;49074;feed;Assurance Nebraska Mississippi;27997;83858;76949;20507
2;Director;71095;tan program;52984;pixel;asymmetric Montana Sausages;48114;32064;53258;59388
3;frictionless;45426;Bahamas;54892;orange Trinidad and Tobago Dollar Gorgeous;UAE Dirham;76022;11669;59563;47316
4;Investment Account cross-platform;10669;transmitting parse infrastructures;93293;Representative mint green streamline;synthesize Arizona synthesizing;13977;82794;79526;75050
5;back-end;82513;gold;23569;payment National;HDD;39244;68298;81659;45194
6;interface Central;62410;Saint Helena;43874;Idaho customized;synthesize Bahrain;90647;22902;62423;54284
7;experiences;33281;array Belize Dollar;16673;HDD Borders reboot;mobile Cheese;31172;70698;24848;77857
8;Steel salmon application;49398;navigate Licensed Bosnia and Herzegovina;37882;Creek Investment Account Buckinghamshire;Shoes Intuitive;72225;77188;72003;1220
9;Credit Card Account Nevada;71617;Money Market Account;82679;Interactions;Idaho strategize;46200;28792;94728;61495
10;Customer;13911;Generic Advanced;72609;Personal Loan Account Awesome International;Lead alarm Cheese;57628;37443;60671;6892
